instancia,nodes,edges,tempo_execucao
alue2087.stp,1244,1971,0.033576765316444754
alue2105.stp,1220,1858,0.033160244392243445
alue3146.stp,3626,5869,0.11182295481363932
alue5067.stp,3524,5560,0.1081684041530528
alue5345.stp,5179,8165,0.16352822703699912
alue5623.stp,4472,6938,0.13956094450420803
alue5901.stp,11543,18429,0.40455016723045933
alue6179.stp,3372,5213,0.1044644167025884
alue6457.stp,3932,6137,0.12219107441785859
alue6735.stp,4119,6696,0.12802509665489198
alue6951.stp,2818,4419,0.08299911608461474
alue7065.stp,34046,54841,1.3122674822807312
alue7066.stp,6405,10454,0.2142744561036428
alue7080.stp,34479,55494,1.3515952229499817
alue7229.stp,940,1474,0.02375492439450811
